Player Name,Age,Team,ASR,Market Value,Nationality,Transfer History Count
Serigne Diop,20 anni,Stade Brestois 29 2,6.60,Not found,SEN,0
Shandre Campbell,19 anni,Club Brugge KV,7.21,960K €,RSA,2
Shiloh 't Zand,22 anni,Feyenoord,6.88,1.2M €,NED,5
Silas Katompa Mvumpa,26 anni,FK Crvena zvezda,6.89,8.2M €,COD,4
Simon Mignolet,37 anni,Club Brugge KV,Not found,1.5M €,BEL,5
Soriba Diaoune,17 anni,Lille U19,6.90,Not found,FRA,Not found
Soumaïla Coulibaly,21 anni,Stade Brestois,6.81,9.6M €,FRA,5
Soungoutou Magassa,Not found,Not found,Not found,Not found,Not found,Not found
Spike Brits,17 anni,Manchester City U21,6.90,Not found,ENG,Not found
Stefan Drljača,26 anni,VfB Stuttgart,7.03,305K €,GER,4
Stefan Gudelj,19 anni,FK Crvena zvezda U19,Not found,Not found,BIH,Not found
Stefan Hierländer,34 anni,SK Sturm Graz,Not found,265K €,AUT,3
Stefan de Vrij,33 anni,Inter,7.05,6.5M €,NED,3
Stephano Carrillo,19 anni,Feyenoord,6.43,2.3M €,MEX,1
Séan McArdle,17 anni,Celtic B U21,6.90,Not found,SCO,Not found
Takumi Minamino,30 anni,AS Monaco,7.02,14.5M €,JPN,5
Takumu Kawamura,25 anni,Red Bull Salzburg,6.70,1.8M €,JPN,4
Tammy Abraham,27 anni,Milan,6.88,13.7M €,ENG,5
Tarek Buchmann,20 anni,FC Bayern München,6.36,515K €,GER,1
Tay Abed,20 anni,Jong PSV Eindhoven,7.09,715K €,ISR,1
Teun Koopmeiners,27 anni,Juventus,7.00,38M €,NED,4
Theo Hernández,27 anni,Milan,7.14,42M €,FRA,5
Thibaut Courtois,33 anni,Real Madrid,7.15,24M €,BEL,5
Thijs Dallinga,24 anni,Bologna,6.78,13.1M €,NED,5
Thijs Kraaijeveld,18 anni,Senza squadra,6.60,Not found,NED,Not found
Thilo Kehrer,28 anni,AS Monaco,7.08,15.5M €,GER,5
Thomas Beelen,23 anni,Feyenoord,6.89,9.3M €,NED,3
Thomas Berenbruch,19 anni,Inter U20,7.42,1M €,ITA,0
Thomas Kastanaras,22 anni,VfB Stuttgart,Not found,520K €,GER,3
Thomas Lemar,29 anni,Atlético Madrid,6.63,5.2M €,FRA,4
Thomas Meunier,33 anni,Lille,7.05,1.9M €,BEL,4
Thomas Müller,35 anni,FC Bayern München,6.99,5.5M €,GER,2
Tidiam Gomis,18 anni,RB Leipzig,6.72,3.2M €,FRA,2
Tigran Barseghyan,31 anni,ŠK Slovan Bratislava,7.59,1.8M €,ARM,5
Timi Elšnik,27 anni,FK Crvena zvezda,7.45,5.4M €,SLO,4
Tochi Chukwuani,22 anni,SK Sturm Graz,6.82,4.3M €,DEN,3
Tomas Baković,18 anni,GNK Dinamo Zagreb U19,6.67,Not found,CRO,Not found
Tomi Horvat,26 anni,SK Sturm Graz,7.16,3.7M €,SLO,2
Tommaso Del Lungo,21 anni,Atalanta U23,6.75,410K €,ITA,Not found
Trent Alexander-Arnold,26 anni,Liverpool,7.20,77M €,ENG,1
Trent Doherty,18 anni,Liverpool U21,6.96,Not found,IRL,Not found
Trey Nyoni,17 anni,Liverpool U21,6.70,3.2M €,ENG,Not found
Tygo Land,19 anni,PSV Eindhoven,6.88,2.8M €,NED,2
Tyler Meiser,18 anni,Borussia Dortmund U19,6.10,Not found,GER,Not found
Tyler Morton,22 anni,Liverpool,6.98,8.3M €,ENG,3
Tyrell Malacia,25 anni,PSV Eindhoven,6.74,12.6M €,NED,4
Tyrone Mings,32 anni,Aston Villa,6.98,6.4M €,ENG,5
Uchenna Aririerisim,21 anni,AC Sparta Praha,7.11,1.8M €,NGR,5
Valentin Oelz,20 anni,FC Liefering,6.45,105K €,AUT,1
Valeriy Bondar,26 anni,Shakhtar Donetsk,7.05,6.4M €,UKR,1
Vasilije Adžić,19 anni,Juventus,7.03,3.3M €,MNE,2
Vasilije Kostov,17 anni,FK Crvena zvezda U19,6.60,Not found,SRB,Not found
Veljko Birmančević,27 anni,AC Sparta Praha,6.83,5.8M €,SRB,5
Veljko Milosavljević,17 anni,FK Crvena zvezda,7.08,560K €,SRB,1
Victor Boniface,24 anni,Bayer 04 Leverkusen,6.96,49M €,NGR,3
Victor Eletu,20 anni,Milan U19,-,430K €,NGR,Not found
Victor Olatunji,25 anni,AC Sparta Praha,6.87,2.8M €,NGR,4
Viggo Gebel,17 anni,RB Leipzig U19,7.20,340K €,GER,Not found
Viktor Gyökeres,Not found,Not found,Not found,70M €,SWE,5
Vito Mannone,37 anni,Lille,7.63,190K €,ITA,5
Vladyslav Krapyvtsov,19 anni,Girona FC,Not found,220K €,UKR,1
Vuk Draškić,18 anni,FK Crvena zvezda U19,7.10,Not found,SRB,Not found
Vítězslav Jaroš,23 anni,Liverpool,6.75,5.3M €,CZE,5
Wahid Faghir,21 anni,VfB Stuttgart,6.77,1.1M €,DEN,5
Waldemar Anton,28 anni,Borussia Dortmund,7.14,19.7M €,GER,3
Walter Benítez,32 anni,PSV Eindhoven,6.88,9.1M €,ARG,3
Warren Bondo,21 anni,Milan,6.72,9.6M €,FRA,5
Wataru Endō,32 anni,Liverpool,6.73,9.2M €,JPN,5
Wessel Kuhn,18 anni,Jong PSV Eindhoven,6.80,515K €,NED,1
Weston McKennie,26 anni,Juventus,6.92,25M €,USA,5
Wilfried Kanga,27 anni,GNK Dinamo Zagreb,Not found,3.3M €,CIV,5
William Bøving,22 anni,SK Sturm Graz,Not found,4.6M €,DEN,2
Wisdom Amey,19 anni,Bologna U19,6.57,540K €,ITA,1
Wisdom Mike,16 anni,Bayern München U19,6.55,Not found,GER,Not found
Yangel Herrera,27 anni,Girona FC,6.99,18.7M €,VEN,5
Yann Bisseck,24 anni,Inter,6.97,28M €,GER,5
Yann Lienard,22 anni,AS Monaco,6.70,205K €,FRA,0
Yannik Keitel,25 anni,VfB Stuttgart,6.69,3.4M €,GER,4
Yannik Lührs,21 anni,Borussia Dortmund II U23,6.96,570K €,GER,3
Yegor Nazaryna,27 anni,Shakhtar Donetsk,6.71,1M €,UKR,5
Younes Lachaab,20 anni,LOSC Lille 2,7.35,Not found,FRA,1
Youssouf Fofana,26 anni,Milan,6.92,33M €,FRA,4
Yukhym Konoplya,25 anni,Shakhtar Donetsk,6.81,7.6M €,UKR,2
Yunus Musah,22 anni,Milan,6.71,23M €,USA,3
Yáser Asprilla,21 anni,Girona FC,6.89,19.3M €,COL,5
Zachary Athekame,20 anni,Young Boys,6.85,4.1M €,SUI,4
Zeki Amdouni,24 anni,Benfica,6.91,16.2M €,SUI,5
Zeno Debast,21 anni,Sporting,7.07,27M €,BEL,3
Álex Grimaldo,29 anni,Bayer 04 Leverkusen,Not found,39M €,ESP,3
Álex Jiménez,20 anni,Milan,6.88,9.1M €,ESP,Not found
Álvaro Cortés,20 anni,Barcelona Atlètic,6.89,135K €,ESP,1
Álvaro Fernández,27 anni,Sevilla,6.84,2.6M €,ESP,5
Ángel Correa,30 anni,Atlético Madrid,6.85,16.4M €,ARG,2
Ángel Di María,Not found,Not found,Not found,Not found,Not found,Not found
Éderson,31 anni,Manchester City,6.98,23M €,BRA,4
İlkay Gündoğan,34 anni,Manchester City,7.01,6.6M €,GER,5
Łukasz Łakomy,Error,Error,Error,Error,Error,Error
