Player Name,Age,Team,ASR,Nationality,Transfer History Count,MarketValue,missing_market_value,Age_norm,MarketValue_norm,Transfers_norm,Nationality_norm,ClubTier,ClubTier_norm,InputScore,SustainabilityScore
Matteo Cocchi,18,Inter U20,7.2,ITA,0,1500000,False,0.505,0.10608108108108108,0.1,0.1,3,1.0,0.803,8.966
Matteo Darmian,35,Inter,6.8,ITA,5,3800000,False,0.8875,0.1154054054054054,0.4,0.1,3,1.0,1.235,5.506
Matteo Gabbia,25,Milan,6.95,ITA,5,14400000,False,0.6625,0.1583783783783784,0.4,0.1,3,1.0,1.127,6.167
Matteo Motta,20,Inter U20,7.14,ITA,0,105000,False,0.55,0.10042567567567569,0.1,0.1,3,1.0,0.825,8.655
Mattia Liberali,18,Milan U19,7.01,ITA,1,5300000,False,0.505,0.1214864864864865,0.16,0.1,3,1.0,0.853,8.218
Matty Cash,27,Aston Villa,6.89,POL,3,25000000,False,0.7075,0.20135135135135135,0.28,0.1,3,1.0,1.058,6.512
Matúš Macík,31,ŠK Slovan Bratislava,6.73,SVK,5,190000,False,0.7975,0.10077027027027027,0.4,0.1,3,1.0,1.189,5.66
Matěj Kovář,25,Bayer 04 Leverkusen,6.94,CZE,5,7200000,False,0.6625,0.1291891891891892,0.4,0.1,3,1.0,1.124,6.174
Maurits Kjærgaard,21,Red Bull Salzburg,7.53,DEN,4,12100000,False,0.5725,0.14905405405405406,0.33999999999999997,1.0,2,0.7,1.453,5.182
Mauro Couto,19,Sporting CP B,6.6,POR,0,210000,False,0.5275,0.10085135135135136,0.1,1.0,3,1.0,1.354,4.874
Mauro Júnior,26,PSV Eindhoven,7.09,BRA,4,12400000,False,0.685,0.1502702702702703,0.33999999999999997,1.0,2,0.7,1.51,4.695
Max Alleyne,19,Manchester City U21,7.4,ENG,0,485000,False,0.5275,0.10196621621621622,0.1,1.0,3,1.0,1.354,5.465
Max Johnston,21,SK Sturm Graz,6.78,SCO,5,1900000,False,0.5725,0.10770270270270271,0.4,1.0,3,1.0,1.617,4.193
Maxim De Cuyper,24,Club Brugge KV,7.42,BEL,3,15500000,False,0.64,0.16283783783783784,0.28,0.1,3,1.0,1.02,7.275
