Player Name,Age,Team,ASR,Nationality,Transfer History Count,MarketValue,missing_market_value,Age_norm,MarketValue_norm,Transfers_norm,Nationality_norm,ClubTier,ClubTier_norm,InputScore,SustainabilityScore
Nicolò Barella,28,Inter,7.14,ITA,5,87000000,False,0.7,0.3918918918918919,0.3333333333333333,0.5,3,1.0,2.925,2.441
Nicolò Cambiaghi,24,Bologna,6.97,ITA,5,6300000,False,0.6,0.02837837837837838,0.3333333333333333,0.5,3,1.0,2.462,2.831
Nicolò Casale,27,Bologna,6.8,ITA,5,7500000,False,0.675,0.033783783783783786,0.3333333333333333,0.5,3,1.0,2.542,2.675
Niklas Geyrhofer,25,SK Sturm Graz,6.73,AUT,2,1900000,False,0.625,0.008558558558558558,0.13333333333333333,0.5,3,1.0,2.267,2.969
Niklas Jessen,21,Borussia Dortmund II U23,6.45,GER,4,245000,False,0.525,0.0011036036036036036,0.26666666666666666,1.0,3,1.0,2.793,2.309
Niklas Lomb,31,Bayer 04 Leverkusen,6.7,GER,5,240000,False,0.775,0.001081081081081081,0.3333333333333333,1.0,3,1.0,3.109,2.155
Niko Galešić,24,GNK Dinamo Zagreb,7.11,CRO,4,3200000,False,0.6,0.014414414414414415,0.26666666666666666,1.0,3,1.0,2.881,2.468
Nikola Moro,27,Bologna,6.96,CRO,5,5200000,False,0.675,0.023423423423423424,0.3333333333333333,1.0,3,1.0,3.032,2.296
Nikola Čavlina,22,GNK Dinamo Zagreb,6.56,CRO,5,805000,False,0.55,0.003626126126126126,0.3333333333333333,1.0,3,1.0,2.887,2.272
Nikolas Nartey,25,VfB Stuttgart,6.77,DEN,5,410000,False,0.625,0.0018468468468468468,0.3333333333333333,1.0,3,1.0,2.96,2.287
Nino Marcelli,19,ŠK Slovan Bratislava,6.85,SVK,2,4500000,False,0.475,0.02027027027027027,0.13333333333333333,0.5,3,1.0,2.129,3.217
Noa Lang,25,PSV Eindhoven,7.35,NED,5,27000000,False,0.625,0.12162162162162163,0.3333333333333333,1.0,2,0.6666666666666666,2.747,2.676
Noah Darvich,18,Barcelona Atlètic,6.86,GER,2,1900000,False,0.45,0.008558558558558558,0.13333333333333333,1.0,3,1.0,2.592,2.647
Nordi Mukiele,27,Bayer 04 Leverkusen,7.01,FRA,5,9500000,False,0.675,0.04279279279279279,0.3333333333333333,0.5,3,1.0,2.551,2.748
